Number of Prey,Time to Catch (sec),Prey Behavior
5,6.005,Control
5,23.659,Control
5,0.196,Control
10,5.71,Control
10,5.543,Control
10,8.514,Control
15,20.922,Control
15,8.878,Control
15,3.545,Control
20,9.406,Control
20,9.406,Control
20,16.369,Control
25,12.375,Control
25,14.486,Control
25,24.189,Control
30,12.903,Control
30,12.117,Control
30,12.574,Control
35,15.179,Control
35,14.157,Control
35,13.164,Control
40,14.288,Control
40,7.127,Control
40,20.625,Control
45,10.891,Control
45,22.803,Control
45,15.476,Control
50,17.688,Control
50,13.43,Control
50,10.199,Control
55,15.61,Control
55,8.845,Control
55,20.921,Control
60,19.7,Control
60,12.704,Control
60,11.383,Control
65,11.254,Control
65,16.006,Control
65,12.802,Control
70,14.289,Control
70,14.519,Control
70,20.987,Control
75,13.531,Control
75,19.071,Control
75,17.557,Control
80,18.38,Control
80,15.973,Control
80,29.766,Control
85,17.127,Control
85,19.833,Control
85,20.327,Control
90,17.029,Control
90,21.021,Control
90,16.733,Control
95,23.991,Control
95,27.126,Control
95,27.489,Control
100,13.859,Control
100,23.43,Control
100,34.221,Control
5,12.967,Avoidance
5,24.256,Avoidance
5,22.175,Avoidance
10,13.299,Avoidance
10,20.89,Avoidance
10,16.534,Avoidance
15,26.697,Avoidance
15,24.585,Avoidance
15,41.843,Avoidance
20,22.176,Avoidance
20,18.151,Avoidance
20,24.585,Avoidance
25,19.965,Avoidance
25,28.414,Avoidance
25,21.25,Avoidance
30,23.397,Avoidance
30,25.674,Avoidance
30,21.35,Avoidance
35,27.95,Avoidance
35,21.452,Avoidance
35,35.739,Avoidance
40,36.136,Avoidance
40,35.344,Avoidance
40,18.679,Avoidance
45,18.611,Avoidance
45,22.473,Avoidance
45,35.807,Avoidance
50,30.296,Avoidance
50,22.24,Avoidance
50,24.255,Avoidance
55,24.749,Avoidance
55,37.844,Avoidance
55,37.354,Avoidance
60,43.957,Avoidance
60,38.444,Avoidance
60,34.482,Avoidance
65,27.523,Avoidance
65,25.343,Avoidance
65,24.551,Avoidance
70,52.074,Avoidance
70,23.562,Avoidance
70,47.059,Avoidance
75,26.002,Avoidance
75,31.581,Avoidance
75,44.816,Avoidance
80,26.961,Avoidance
80,29.169,Avoidance
80,56.492,Avoidance
85,25.015,Avoidance
85,29.502,Avoidance
85,24.253,Avoidance
90,45.733,Avoidance
90,26.07,Avoidance
90,34.683,Avoidance
95,30.277,Avoidance
95,30.129,Avoidance
95,55.736,Avoidance
100,28.478,Avoidance
100,35.707,Avoidance
100,43.425,Avoidance
5,6.469,Attraction
5,3.927,Attraction
5,6.006,Attraction
10,3.333,Attraction
10,2.013,Attraction
10,4.454,Attraction
15,4.818,Attraction
15,8.151,Attraction
15,7.724,Attraction
20,3.136,Attraction
20,7.4457,Attraction
20,4.918,Attraction
25,10.228,Attraction
25,10.627,Attraction
25,6.237,Attraction
30,7.986,Attraction
30,9.105,Attraction
30,2.476,Attraction
35,5.313,Attraction
35,5.84,Attraction
35,8.515,Attraction
40,12.11,Attraction
40,7.984,Attraction
40,12.901,Attraction
45,7.656,Attraction
45,4.621,Attraction
45,6.699,Attraction
50,7.658,Attraction
50,3.927,Attraction
50,6.997,Attraction
55,9.737,Attraction
55,6.962,Attraction
55,10.33,Attraction
60,11.122,Attraction
60,7.127,Attraction
60,6.763,Attraction
65,8.218,Attraction
65,9.57,Attraction
65,16.136,Attraction
70,10.624,Attraction
70,8.714,Attraction
70,8.547,Attraction
75,8.975,Attraction
75,12.937,Attraction
75,19.4649,Attraction
80,12.145,Attraction
80,10.033,Attraction
80,10.725,Attraction
85,8.942,Attraction
85,11.582,Attraction
85,14.51,Attraction
90,10.528,Attraction
90,10.495,Attraction
90,7.624,Attraction
95,11.815,Attraction
95,8.746,Attraction
95,11.848,Attraction
100,9.538,Attraction
100,7.327,Attraction
100,7.886,Attraction
5,6.039,Freeze
5,5.112,Freeze
5,4.093,Freeze
10,13.86,Freeze
10,11.415,Freeze
10,8.58,Freeze
15,12.936,Freeze
15,4.354,Freeze
15,5.973,Freeze
20,9.93,Freeze
20,13.99,Freeze
20,9.766,Freeze
25,9.9,Freeze
25,21.349,Freeze
25,12.64,Freeze
30,16.401,Freeze
30,11.154,Freeze
30,12.64,Freeze
35,17.918,Freeze
35,13.395,Freeze
35,12.969,Freeze
40,18.017,Freeze
40,20.394,Freeze
40,11.319,Freeze
45,20.195,Freeze
45,13.826,Freeze
45,12.603,Freeze
50,14.849,Freeze
50,17.855,Freeze
50,14.948,Freeze
55,13.76,Freeze
55,14.058,Freeze
55,20.031,Freeze
60,20.625,Freeze
60,21.613,Freeze
60,12.54,Freeze
65,19.503,Freeze
65,11.715,Freeze
65,14.125,Freeze
70,14.221,Freeze
70,24.486,Freeze
70,20.79,Freeze
75,21.122,Freeze
75,23.2,Freeze
75,21.019,Freeze
80,12.803,Freeze
80,16.568,Freeze
80,20.359,Freeze
85,11.881,Freeze
85,10.229,Freeze
85,17.226,Freeze
90,12.473,Freeze
90,32.241,Freeze
90,15.742,Freeze
95,15.247,Freeze
95,16.468,Freeze
95,14.255,Freeze
100,18.779,Freeze
100,22.9,Freeze
100,13.464,Freeze